,# Gaus_id, Isl_id, RA, DEC, Peak_flux, E_Peak_flux
0,0,0,109.50784647694076,37.6542962766535,1.68777181247222,0.05091873879067
1,1,1,109.50081929870132,37.65383033967121,0.95539874993042,0.04915162369545
2,2,1,109.500805113719,37.65551090174585,1.03411815300032,0.05004044254841
3,3,2,109.49380697812992,37.65389988665355,0.98192047329256,0.04995572549955
4,4,2,109.49382104953725,37.65638428285848,1.00529998185749,0.04941990513543
5,5,3,109.48681009868552,37.65722800146855,0.97172668887335,0.04990982285335
6,6,3,109.48679606749582,37.65390955850054,0.98405388779948,0.04979824701671
7,7,4,109.47978721032328,37.65391854528795,0.9614717106119,0.04976405172836
8,8,5,109.47975599704483,37.65809800675787,0.98256796192443,0.04997148506893
9,9,6,109.47273999614434,37.653927197296,0.97826158070626,0.04993569622278
10,10,7,109.47276076471572,37.65890337997327,0.99548105524679,0.04956470090379
11,11,8,109.46575534048318,37.65391777421618,0.96794631284522,0.05020150363877
12,12,9,109.4657615110886,37.65976013161268,0.98423674336168,0.04991044578261
13,13,10,109.45873847835526,37.65392944607419,0.97631842378952,0.04992883799735
14,14,11,109.45873883991284,37.66057685504978,0.98685561016529,0.04993984897872
