, Isl_id, RA, DEC, Peak_flux, E_Peak_flux
0,0,109.50865671422598,37.65440161038445,0.11815874361355,0.01368552037658
1,0,109.50783028487416,37.65401975332772,1.93374353595174,0.05264652124766
2,1,109.50081231167196,37.65417964705899,1.82688403434824,0.05341336822347
3,2,109.49381192652372,37.65430970179403,1.67739953319195,0.05398601039375
4,3,109.48678674858556,37.65446150313382,1.49709439768727,0.05424410109368
5,4,109.4797788566892,37.65525082402658,1.04009250196464,0.05303972788023
6,4,109.47974764083231,37.65383947948591,0.89410208721202,0.05269947078769
7,5,109.47277637140088,37.65391294136634,1.00315906333637,0.05240208269183
8,5,109.4727494526042,37.65557698841949,0.9908572638999,0.05249309397617
9,6,109.4657221992049,37.65390195818388,0.98468386835241,0.05219477487492
10,6,109.46574067397856,37.65584869153134,0.99413855099714,0.05292423586554
11,7,109.45873926538977,37.6539028473818,0.9669424835727,0.05264732203774
12,7,109.45873138402716,37.65615333124099,0.98275931077666,0.05312721219165
13,8,109.45170677601014,37.65394566096228,0.99708515342588,0.05271511854189
14,8,109.45169285536988,37.65644293911092,0.98137663141687,0.05261671144186
15,9,109.4446693758856,37.65671845397866,0.97561580944213,0.05274760394866
16,9,109.4447038647958,37.65393267376977,0.98769105344612,0.05264305315732
17,10,109.43764590591682,37.65393715425176,0.97968910422057,0.05249916504603
18,10,109.43769224364009,37.65699477841364,0.97889318713757,0.05273953268931
19,11,109.43064101153948,37.65392875783483,0.99004760796334,0.05293235897855
20,11,109.4306369387749,37.65726935665855,0.98333466041715,0.05241634444413
21,12,109.42365574965628,37.65393960953941,0.98995721035745,0.05241871780352
22,13,109.42364614973889,37.65755532605798,0.98651410097395,0.05308626405799
23,14,109.41664207721604,37.65393619375127,0.98658405613605,0.05277973792485
24,15,109.41662461855827,37.65786273828847,0.99240242416701,0.05248405228748
25,16,109.40958942075216,37.65396002331067,0.98473015172819,0.05272368279621
26,17,109.40959299617168,37.65813823366644,0.99178508602376,0.05246418004548
27,18,109.40256561564284,37.65394291844201,0.97040465822056,0.05271489274209
28,19,109.40260479276446,37.65842543037634,0.96893267310485,0.05289768500207
