, Isl_id, RA, DEC, Peak_flux, E_Peak_flux, Maj, Min, S_Code
0,0,109.4737358932492,37.65435107448165,4.97007951717066,1.1625870533357,0.00241001825528,0.00170052799144, S   
1,1,109.46550012352247,37.65414504877745,5.71063550467019,1.18378149949951,0.00203884369615,0.00182529330364, S   
2,2,109.45701715649392,37.65412342163716,7.09273952590428,1.1104430069923,0.00163249979187,0.00132956009853, S   
3,3,109.4485929168068,37.65421988460292,7.67895592940842,1.14840592498587,0.0017002783284,0.00150148684381, S   
4,4,109.44009784605949,37.65420701395355,8.12718632903347,1.15382193604633,0.00178288308514,0.00150719303678, S   
5,5,109.43174132758854,37.65422662761667,9.35587196375389,1.13545865344222,0.00159497095332,0.00147598077857, S   
6,6,109.42331268531736,37.6542269511361,10.82781054838276,1.08714236262328,0.00146416898037,0.00131736205068, S   
7,7,109.41486832809444,37.65427123301043,12.50683180179254,1.0942003813485,0.00147438811593,0.00134089586208, S   
8,8,109.406447324797,37.65421969104909,12.84054697984172,1.10387834271859,0.00148091372645,0.00138136661748, S   
9,9,109.39799814900636,37.65423475989455,13.12932185876408,1.14536551872836,0.00164513037434,0.00150995122397, S   
10,10,109.38959265183024,37.6542313800885,14.54003209584037,1.09532165866807,0.00141963550736,0.00138929794517, S   
